_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
688494,8 Brumell Ave,Front Yard Parking,0,18,34,16,9,25% of ballots received by voters,1,34,0,1,5/31/2015,0,34,6/1/2018,5/1/2015,10,50% + 1 of received ballots,FYP 2015-104,170,In Favour,41,Yes
688495,90 Belsize Dr,Front Yard Parking,0,30,36,30,9,25% of ballots received by voters,0,36,0,0,6/3/2015,0,36,6/4/2018,5/4/2015,16,50% + 1 of received ballots,FYP 2015-106,172,In Favour,40,Yes
688496,376 Roehampton Ave,Front Yard Parking,0,43,97,37,23,25% of ballots received by voters,3,91,6,3,6/11/2015,0,97,6/12/2018,5/12/2015,23,50% + 1 of received ballots,FYP 2015-108,174,In Favour,135,Yes
688497,,Traffic Calming,0,137,334,101,159,50% + 1 of ballots received by voters,31,316,18,5,6/4/2015,0,334,6/5/2017,5/6/2015,,60% of received ballots,TCP 2015-110,176,Response Rate Not Met,379,No
688498,889 Queen St E,Boulevard Cafe,0,30,106,19,26,25% of ballots received by voters,10,103,3,1,6/5/2015,0,106,6/6/2017,5/6/2015,16,50% + 1 of received ballots,BCP 2015-111,177,In Favour,120,Yes
688499,,Traffic Calming,0,63,235,42,102,50% + 1 of ballots received by voters,20,202,33,1,6/11/2015,0,235,6/12/2017,5/13/2015,,60% of received ballots,TCP 2015-112,178,Response Rate Not Met,245,No
688500,1747 Eglinton Ave W,Commercial Boulevard Parking,0,26,235,13,51,25% of ballots received by voters,11,204,31,2,6/9/2015,0,235,6/10/2017,5/11/2015,,50% + 1 of received ballots,CBP 2015-113,179,Response Rate Not Met,333,No
688501,24 Harlton Cres,Appeal - Front Yard Parking,0,35,109,29,25,25% of ballots received by voters,1,99,10,5,6/26/2015,0,109,6/27/2018,5/28/2015,19,50% + 1 of received ballots,FYPA 2015-114,180,In Favour,144,Yes
688502,,Traffic Calming,0,101,340,44,167,50% + 1 of ballots received by voters,27,332,8,30,10/14/2015,0,340,10/15/2017,9/14/2015,,60% of received ballots,TCP 2015-116,182,Response Rate Not Met,459,No
688503,291 Deloraine Ave,Front Yard Parking,0,48,80,44,20,25% of ballots received by voters,3,79,1,1,6/23/2015,0,80,6/24/2018,5/25/2015,25,50% + 1 of received ballots,FYP 2015-117,183,In Favour,100,Yes
688504,353 St Germain Ave,Front Yard Parking,0,36,73,32,18,25% of ballots received by voters,0,72,1,4,6/18/2015,0,73,6/19/2018,5/20/2015,19,50% + 1 of received ballots,FYP 2015-118,184,In Favour,93,Yes
688505,,Traffic Calming,0,24,43,19,23,50% + 1 of ballots received by voters,5,43,0,0,6/19/2015,0,43,6/20/2017,5/21/2015,15,60% of received ballots,TCP 2015-119,185,In Favour,48,Yes
688506,,Traffic Calming,0,55,78,47,40,50% + 1 of ballots received by voters,8,78,0,0,6/23/2015,0,78,6/24/2017,5/25/2015,33,60% of received ballots,TCP 2015-120,186,In Favour,93,Yes
688507,2152 Danforth Ave,Boulevard Cafe,0,3,16,0,4,25% of ballots received by voters,3,15,1,0,6/25/2015,0,16,6/26/2017,5/27/2015,,50% + 1 of received ballots,BCP 2015-121,187,Response Rate Not Met,23,No
688508,,Traffic Calming,0,54,90,43,46,50% + 1 of ballots received by voters,10,89,1,1,6/24/2015,0,90,6/25/2017,5/26/2015,33,60% of received ballots,TCP 2015-122,188,In Favour,106,Yes
688509,,Traffic Calming,2,82,138,63,66,50% + 1 of ballots received by voters,13,131,7,4,6/30/2015,0,138,7/1/2017,6/1/2015,50,60% of received ballots,TCP 2015-123,189,In Favour,167,Yes
688510,,Traffic Calming,0,134,271,99,132,50% + 1 of ballots received by voters,33,261,10,2,6/26/2015,0,271,6/27/2017,5/28/2015,81,60% of received ballots,TCP 2015-124,190,In Favour,326,Yes
688511,,Traffic Calming,0,87,261,63,126,50% + 1 of ballots received by voters,23,250,11,1,6/26/2015,0,261,6/27/2017,5/28/2015,,60% of received ballots,TCP 2015-125,191,Response Rate Not Met,284,No
688512,,Traffic Calming,0,68,138,44,68,50% + 1 of ballots received by voters,17,133,5,7,6/30/2015,0,138,7/1/2017,6/1/2015,41,60% of received ballots,TCP 2015-126,192,In Favour,189,Yes
688513,866 Bloor St W,Boulevard Cafe,0,1,24,1,3,25% of ballots received by voters,0,9,15,0,6/30/2015,0,24,7/1/2017,6/1/2015,,50% + 1 of received ballots,BCP 2015-127,193,Response Rate Not Met,26,No
688514,,Traffic Calming,0,2,11,1,4,50% + 1 of ballots received by voters,1,6,5,0,6/30/2015,0,11,7/1/2017,6/1/2015,,60% of received ballots,TCP 2015-128,194,Response Rate Not Met,17,No
688515,540 College St (former Toronto),Boulevard Cafe,0,31,151,18,37,25% of ballots received by voters,11,145,6,2,7/7/2015,0,151,7/8/2017,6/8/2015,,50% + 1 of received ballots,BCP 2015-129,195,Response Rate Not Met,177,No
688516,100 Sorauren Ave,Boulevard Cafe,0,27,92,21,23,25% of ballots received by voters,1,89,3,5,7/7/2015,0,92,7/8/2017,6/8/2015,15,50% + 1 of received ballots,BCP 2015-130,196,In Favour,110,Yes
688517,355 Danforth Ave,Boulevard Cafe,0,30,76,23,19,25% of ballots received by voters,1,73,3,6,7/9/2015,0,76,7/10/2017,6/10/2015,16,50% + 1 of received ballots,BCP 2015-131,197,In Favour,108,Yes
688518,538 Danforth Ave,Boulevard Cafe,0,50,146,45,35,25% of ballots received by voters,3,139,7,2,7/7/2015,1,146,7/8/2017,6/8/2015,26,50% + 1 of received ballots,BCP 2015-132,198,In Favour,174,Yes
688519,536 Soudan Ave,Appeal - Front Yard Parking,0,25,59,23,15,25% of ballots received by voters,0,59,0,2,7/10/2015,0,59,7/11/2018,6/11/2015,14,50% + 1 of received ballots,FYPA 2015-133,199,In Favour,68,Yes
